CompanyName,Website,Industry,Sub-Industry,MarketSegment,AI_Functional_Category,CompanyDescription,LatestFundingDate,LatestFundingAmount,LatestFundingRound,CompanyTotalFunding,CompanyInvestors,CompanyExitDate,CompanyLatestValuation,CompanyFoundedYear,CompanyDataAdded,CompanyStatus,CompanyCompetitors,CompanyMarketCap,LocationContinent,LocationCountry,LocationState,LocationCity,LocationAddress,Notes
Menten AI,menten.ai,unknown,unknown,unknown,Platforms - protein engineering,"Menten AI specializes in the development of advanced generative AI platforms for the drug discovery sector, focusing on peptide therapeutics. The company's main offerings include a machine learning-based platform that integrates physics-based molecular modeling to design and optimize novel peptides for drug development. Menten AI's technology is particularly aimed at creating drug-like molecules for targets that are currently considered undruggable. It was founded in 2018 and is based in San Francisco, California.",6/30/20,4,Seed VC,4.15,unknown,unknown,0,2018,12/30/24,Alive / Active,unknown,0,North America,United States,California,San Francisco,528 41st Avenue,unknown
BioMap,biomap.com,unknown,unknown,unknown,Platforms - protein engineering,"BioMap focuses on leveraging artificial intelligence (AI) to advance life sciences. The company develops AI foundation models to understand and predict biological behaviors and creates task models for various life science applications, including therapeutic antibodies and industrial enzymes. BioMap primarily serves the biotechnology and pharmaceutical industries with its AI-driven solutions. It was founded in 2020 and is based in Palo Alto, California.",6/24/24,0,Series B,100,unknown,unknown,0,2020,12/30/24,Alive / Active,"Insilico Medicine, CytoReason, Envisagenics, Verge Genomics, Iktos, Arctoris, Atomwise, Recursion, Zymergen, BenevolentAI, Numerate, Schrodinger, Relay Therapeutics, Cloud Pharmaceuticals, NuMedii, DeepMind, BERG, Acellera",0,North America,United States,California,Palo Alto,2460 Embarcadero Way Suite A,unknown
Cradle,cradle.bio,unknown,unknown,unknown,Platforms - protein engineering,"Cradle operates in protein engineering within the biotechnology sector. The company has a platform that employs machine learning to design variants of protein sequences, aiding the protein engineering process for various applications such as therapeutics, chemicals, materials, and food. Cradle's services are aimed at biotech teams involved in research and development projects. It was founded in 2021 and is based in Delft, Netherlands.",11/26/24,73,Series B,102.7,unknown,unknown,0,2021,12/30/24,Alive / Active,"Aqemia, Insilico Medicine, Biomatter, Arzeda, InstaDeep, Endel, Variational AI, Schrodinger, Valence Labs, Codexis, Isomorphic Laboratories, YDS Pharmatech",0,Europe,Netherlands,unknown,Delft,Alexander Fleminglaan 1,unknown
Arzeda,arzeda.com,unknown,unknown,unknown,Platforms - protein engineering,"Arzeda is a synthetic biology company that focuses on protein design and operates within the biotechnology sector. The company specializes in creating proteins and enzymes through a combination of physics-based protein design and AI. Arzeda's products are utilized in a range of applications, including polymers, pharmaceuticals, industrial chemicals, and other advanced applications. It was founded in 2008 and is based in Seattle, Washington.",11/13/23,38,Series B - II,93.68,unknown,unknown,54.26,2008,12/30/24,Alive / Active,"Cradle, Ginkgo Bioworks",0,North America,United States,Washington,Seattle,3421 Thorndyke Avenue West,unknown
Biomatter,biomatter.ai,unknown,unknown,unknown,Platforms - protein engineering,"Biomatter is a synthetic biology company that focuses on creating new proteins for various applications within the health and sustainable manufacturing sectors. The company offers a proprietary intelligent architecture platform that develops proteins with the capabilities of traditional engineering methods. Biomatter was formerly known as Biomatter Designs. It was founded in 2018 and is based in Vilnius, Lithuania.",8/5/24,7.12,Seed VC - II,7.73,unknown,1/1/18,0,2018,12/30/24,Alive / Active,"Aqemia, Cradle, Insilico Medicine, Zymvol, InstaDeep, Endel, Variational AI, Valence Labs, Codexis, Aminoverse, YDS Pharmatech",0,Europe,Lithuania,unknown,Vilnius,Zirmunu Street 139A,unknown
Pepticom,pepticom.com,unknown,unknown,unknown,Platforms - protein engineering,"Pepticom focuses on the design of peptide drug candidates using biocomputational AI technologies within the biotechnology sector. The company provides services that include optimizing the drug discovery process and addressing the time, risks, and costs associated with developing therapeutics. Pepticom's technology is applicable in pharmaceuticals and agriculture for discovering peptides and other molecules. It was founded in 2011 and is based in Jerusalem, Israel.",10/24/19,5,Series A,5,unknown,unknown,24.48,2011,12/30/24,Alive / Active,Nuritas,0,Asia,Israel,unknown,Jerusalem,"Malha Technology Park (GATI) Building 8, 3rd Floor",unknown
Peptris,peptris.com,unknown,unknown,unknown,Platforms - protein engineering,"Peptris focuses on accelerating drug discovery using artificial intelligence and machine learning in the pharmaceutical research and development sector. The company's main service is the development of a computational platform that uses AI and ML in the field of drug discovery and development process. Peptris was founded in 2019 and is based in Bengaluru, India.",12/19/23,1,Pre-Seed,1,unknown,unknown,0,2019,12/30/24,Alive / Active,unknown,0,Asia,India,unknown,Bengaluru,"E-Block, Sahakara Nagar Shree Ganesh, No. 2473",unknown
Galux,galux.co.kr,unknown,unknown,unknown,Platforms - protein engineering,"Galux is a company focused on revolutionizing drug discovery in the pharmaceutical industry. The company offers an integrated in silico technology that combines physics, chemistry, and artificial intelligence to aid in the discovery of new drugs. Galux primarily serves the pharmaceutical industry. It was founded in 2020 and is based in Seoul, South Korea.",7/12/22,3.06,Series A - II,7.27,unknown,unknown,0,2020,12/30/24,Alive / Active,unknown,0,Asia,South Korea,unknown,Seoul,"F6, 1837, Nambusunhwan-ro, Gwanak-gu",unknown
Amide Technologies,amidetech.com,unknown,unknown,unknown,Platforms - protein engineering,"Amide Technologies specializes in on-demand polyamide manufacturing within the biotechnology sector. The company offers synthesis of complex peptides that are challenging to produce using traditional methods, facilitating advancements in drug discovery and development. Amide Technologies primarily serves the pharmaceutical and biotech industries, supporting scientists involved in peptide drug design. It was founded in 2016 and is based in Cambridge, Massachusetts.",7/1/23,7.5,Series A,9.5,unknown,1/1/18,0,2016,12/30/24,Alive / Active,unknown,0,North America,United States,Massachusetts,Cambridge,750 Main Street Suite 328,unknown
MoleculeMind,moleculemind.com,unknown,unknown,unknown,Platforms - protein engineering,"MoleculeMind is an AI protein design platform company in the biotechnology sector. It specializes in leveraging AI algorithms to revolutionize protein discovery, optimization, and design, thereby accelerating the entire drug development process across various fields including agriculture, material design, and environmental improvement. The company primarily serves the biotechnology and pharmaceutical industries with its AI-driven protein design and optimization solutions. It was founded in 2022 and is based in Haidian, China.",9/13/24,0,Series A,0,unknown,unknown,0,2022,12/30/24,Alive / Active,"MatWings Technology, BiocreAtech, Arzeda, Amide Technologies, AminoAnalytica",0,Asia,China,Beijing,Haidian,"No. 8, Yard 1, Zhongguancun East Road 7th Floor, Building C, Science and Technology Building, Tsinghua Science Park",unknown
